Tenant,Pod,VRF,Node,L3Out,Domain,IP,MAC,VLAN
BAAC_DC,pod-2,VRF_DC,node-2502,L3OUT_DC_EXT_DR_CORE,DOM_L3OUT,172.31.14.197,C4:F7:D5:F0:E4:7F,vlan-12
BAAC_DC,pod-2,VRF_DC,node-2502,L3OUT_DC_EXT_DR_CORE,DOM_L3OUT,172.31.14.196,2C:F8:9B:47:C4:FF,vlan-12
BAAC_DC,pod-2,VRF_DC,node-2502,L3OUT_DC_EXT_DR_CORE,DOM_L3OUT,172.31.14.194,00:22:BD:F8:19:FF,vlan-12
BAAC_DC,pod-2,VRF_DC,node-2501,L3OUT_DC_EXT_DR_CORE,DOM_L3OUT,172.31.14.197,C4:F7:D5:F0:E4:7F,vlan-12
BAAC_DC,pod-2,VRF_DC,node-2501,L3OUT_DC_EXT_DR_CORE,DOM_L3OUT,172.31.14.196,2C:F8:9B:47:C4:FF,vlan-12
BAAC_DC,pod-2,VRF_DC,node-2501,L3OUT_DC_EXT_DR_CORE,DOM_L3OUT,172.31.14.195,00:22:BD:F8:19:FF,vlan-12
BAAC_DC,pod-1,VRF_DC,node-1102,L3OUT_DC_EXT_DC_CORE,DOM_L3OUT,172.26.14.194,00:22:BD:F8:19:FF,vlan-12
BAAC_DC,pod-1,VRF_DC,node-1102,L3OUT_DC_EXT_DC_CORE,DOM_L3OUT,172.26.14.197,2C:F8:9B:47:C5:3F,vlan-12
BAAC_DC,pod-1,VRF_DC,node-1102,L3OUT_DC_EXT_DC_CORE,DOM_L3OUT,172.26.14.196,2C:F8:9B:47:C5:FF,vlan-12
BAAC_DC,pod-1,VRF_DC,node-1101,L3OUT_DC_EXT_DC_CORE,DOM_L3OUT,172.26.14.195,00:22:BD:F8:19:FF,vlan-12
BAAC_DC,pod-1,VRF_DC,node-1101,L3OUT_DC_EXT_DC_CORE,DOM_L3OUT,172.26.14.197,2C:F8:9B:47:C5:3F,vlan-12
BAAC_DC,pod-1,VRF_DC,node-1101,L3OUT_DC_EXT_DC_CORE,DOM_L3OUT,172.26.14.196,2C:F8:9B:47:C5:FF,vlan-12
BAAC_MDR1,pod-2,VRF_MDR1_INT_ESM_1,node-2508,L3OUT_MDR1_INT_ESM_1_SW,DOM_L3OUT,172.31.13.84,EC:9B:8B:F2:52:84,vlan-3173
BAAC_MDR1,pod-2,VRF_MDR1_INT_ESM_1,node-2507,L3OUT_MDR1_INT_ESM_1_SW,DOM_L3OUT,172.31.13.84,EC:9B:8B:F2:52:84,vlan-3173
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2501,L3OUT_MDR1_INT_Dev_Ops_2,DOM_L3OUT,172.17.35.22,00:00:5E:00:01:10,vlan-2152
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2501,L3OUT_MDR1_INT_Dev_Ops_2,DOM_L3OUT,172.17.35.21,10:C1:72:E8:B3:86,vlan-2152
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2501,L3OUT_MDR1_INT_Dev_Ops_2,DOM_L3OUT,172.17.35.18,00:22:BD:F8:19:FF,vlan-2152
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2502,L3OUT_MDR1_INT_Dev_Ops_2,DOM_L3OUT,172.17.35.22,00:00:5E:00:01:10,vlan-2152
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2502,L3OUT_MDR1_INT_Dev_Ops_2,DOM_L3OUT,172.17.35.21,10:C1:72:E8:B3:86,vlan-2152
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2502,L3OUT_MDR1_INT_Dev_Ops_2,DOM_L3OUT,172.17.35.19,00:22:BD:F8:19:FF,vlan-2152
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2507,L3OUT_MDR1_INT_Dev_Ops_2_SW,DOM_L3OUT,172.31.13.97,EC:9B:8B:F8:2A:87,vlan-3185
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2507,L3OUT_MDR1_INT_Dev_Ops_2_SW,DOM_L3OUT,172.31.13.108,00:22:BD:F8:19:FF,vlan-3185
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2508,L3OUT_MDR1_INT_Dev_Ops_2_SW,DOM_L3OUT,172.31.13.97,EC:9B:8B:F8:2A:87,vlan-3185
BAAC_MDR1,pod-2,VRF_MDR1_INT_Dev_Ops_2,node-2508,L3OUT_MDR1_INT_Dev_Ops_2_SW,DOM_L3OUT,172.31.13.109,00:22:BD:F8:19:FF,vlan-3185
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_1,node-2502,L3OUT_MDR1_INT_SOA_1,DOM_L3OUT,172.17.27.6,00:00:5E:00:01:1B,vlan-2071
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_1,node-2502,L3OUT_MDR1_INT_SOA_1,DOM_L3OUT,172.17.27.5,10:C1:72:E8:B3:86,vlan-2071
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_1,node-2502,L3OUT_MDR1_INT_SOA_1,DOM_L3OUT,172.17.27.3,00:22:BD:F8:19:FF,vlan-2071
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_1,node-2501,L3OUT_MDR1_INT_SOA_1,DOM_L3OUT,172.17.27.6,00:00:5E:00:01:1B,vlan-2071
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_1,node-2501,L3OUT_MDR1_INT_SOA_1,DOM_L3OUT,172.17.27.5,10:C1:72:E8:B3:86,vlan-2071
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_1,node-2501,L3OUT_MDR1_INT_SOA_1,DOM_L3OUT,172.17.27.2,00:22:BD:F8:19:FF,vlan-2071
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_5,node-2501,L3OUT_MDR1_INT_SOA_5,DOM_L3OUT,172.17.27.70,00:00:5E:00:01:1F,vlan-2075
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_5,node-2501,L3OUT_MDR1_INT_SOA_5,DOM_L3OUT,172.17.27.69,10:C1:72:E8:B3:86,vlan-2075
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_5,node-2501,L3OUT_MDR1_INT_SOA_5,DOM_L3OUT,172.17.27.66,00:22:BD:F8:19:FF,vlan-2075
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_5,node-2502,L3OUT_MDR1_INT_SOA_5,DOM_L3OUT,172.17.27.70,00:00:5E:00:01:1F,vlan-2075
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_5,node-2502,L3OUT_MDR1_INT_SOA_5,DOM_L3OUT,172.17.27.69,10:C1:72:E8:B3:86,vlan-2075
BAAC_MDR1,pod-2,VRF_MDR1_INT_SOA_5,node-2502,L3OUT_MDR1_INT_SOA_5,DOM_L3OUT,172.17.27.67,00:22:BD:F8:19:FF,vlan-2075
BAAC_MDR1,pod-2,VRF_MDR1_INT_ESM_1,node-2501,L3OUT_MDR1_INT_ESM_1,DOM_L3OUT,172.17.32.6,00:00:5E:00:01:09,vlan-2121
