Tenant,ANP,VRF,BridgeDomain,EPG,Pod,Node,IPG,IP,MAC,VLAN
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_VSAN,EPG_DC_SOC_VSAN,pod-1,paths-1103,eth1/6,172.26.95.102,00:50:56:69:A1:92,vlan-2790
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_VSAN,EPG_DC_SOC_VSAN,pod-1,paths-1103,eth1/8,172.26.95.103,00:50:56:60:BD:4B,vlan-2790
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_VSAN,EPG_DC_SOC_VSAN,pod-1,paths-1103,eth1/4,172.26.95.101,00:50:56:64:85:E7,vlan-2790
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_VMOTION,EPG_DC_SOC_VMOTION,pod-1,paths-1104,eth1/6,172.26.95.72,00:50:56:67:6F:B8,vlan-2789
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_VMOTION,EPG_DC_SOC_VMOTION,pod-1,paths-1104,eth1/8,172.26.95.73,00:50:56:6D:85:EC,vlan-2789
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_VMOTION,EPG_DC_SOC_VMOTION,pod-1,paths-1104,eth1/4,172.26.95.71,00:50:56:67:49:E5,vlan-2789
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1103,eth1/7,172.26.95.22,00:0C:29:57:48:C6,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1103,eth1/3,172.26.95.21,00:0C:29:FB:E5:92,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1103,eth1/7,172.26.95.23,00:0C:29:3B:14:A6,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1104,eth1/5,172.26.95.2,00:50:56:6B:74:D9,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1103,eth1/5,172.26.95.24,00:0C:29:E4:44:D6,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1104,eth1/7,172.26.95.3,00:50:56:6B:88:C0,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1104,eth1/3,172.26.95.1,00:50:56:65:25:96,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1104,eth1/5,172.26.95.25,00:50:56:A5:82:2E,vlan-2787
BAAC_DC,ANP_DC,VRF_DC,BD_DC_SOC_ESXi_MGT,EPG_DC_SOC_ESXi_MGT,pod-1,paths-1103,eth1/3,172.26.95.26,00:50:56:A5:3D:54,vlan-2787
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.238,00:60:16:B2:32:9E,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.231,00:0C:29:15:D8:2B,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.235,4C:D9:8F:B7:F7:3A,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.236,4C:D9:8F:B7:F7:3A,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.237,4C:D9:8F:B7:D4:BC,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.239,68:4F:64:B5:A8:CB,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.233,88:94:71:DF:38:60,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.227,F4:02:70:DB:7E:B8,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.226,F4:02:70:DB:2C:56,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.241,68:4F:64:CF:48:F4,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.234,88:94:71:E6:A4:70,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.240,68:4F:64:B5:97:CB,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.230,F4:02:70:D0:FE:36,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.229,F4:02:70:DB:2B:A8,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.228,F4:02:70:DB:2B:B4,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_MGT,EPG_DC_FMIS_MGT,pod-1,protpaths-1205-1206,IPG_VPC_DC_FMIS_MGT,172.26.37.225,F4:02:70:DB:1F:7E,vlan-2606
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_NON_PRD,EPG_DC_FMIS_NON_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.33,B0:26:28:EE:A0:BF,vlan-2943
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.15,00:0C:29:B2:15:77,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.3,00:0C:29:C5:67:17,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.14,00:0C:29:15:D8:21,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.22,00:10:E0:35:81:4E,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.18,00:0C:29:FE:A2:F6,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.23,00:14:4F:80:C4:96,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.9,B0:26:28:EE:BC:84,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.11,B0:26:28:EE:56:B4,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.10,B0:26:28:EF:56:A4,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.8,B0:26:28:EF:56:A4,vlan-2942
BAAC_DC,ANP_FMIS,VRF_DC,BD_DC_FMIS_PRD,EPG_DC_FMIS_PRD,pod-1,protpaths-1203-1204,IPG_VPC_DC_FMIS_PRD,172.29.22.24,B0:26:28:EE:A0:BE,vlan-2942
